date,critical_staffing_shortage_anticipated_within_week_yes,hospital_onset_covid,inpatient_beds_used_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,adult_icu_bed_covid_utilization_utilization,deaths_covid
2022-02-21,0.18189996401583303,18.614521833073532,492.54034589481546,472.6143719277508,0.1407522295463358,8.161419293617618
2022-02-22,0.18085297822566132,15.677866580708244,474.0850337908924,456.48468611384175,0.13614310533427706,7.398220851578956
2022-02-23,0.1758777633289987,16.308073778612716,409.68785081569695,393.2292199175726,0.1280393534785664,5.62570577016314
2022-02-24,0.1688058489033306,14.410657683028855,388.09047890878765,372.38923962554173,0.12126324399626803,4.557547096410779
2022-02-25,0.1670186839967506,14.257375437818414,371.6752647336096,356.46399545020057,0.11564319779923127,5.12499664711521
2022-02-26,0.16105964570128392,15.994075044527632,347.09559872414866,332.2101625180598,0.10816637405762677,4.7565920017634555
2022-02-27,0.15980471928397072,17.085495308417986,337.98058657591645,323.76795990958425,0.10420774099823596,3.3852907170039077
2022-02-28,0.17316017316017315,16.39653704606401,369.7002391292105,353.57536735690894,0.10214962872413748,5.080702682283065
2022-03-01,0.17163504968383017,13.48974720548752,356.04477128086484,340.51514974265683,0.09777531163702996,5.076623425135457
2022-03-02,0.17104190445132889,14.466727568280374,308.317495535422,294.0165928285354,0.09336397955776984,3.83058110760797
2022-03-03,0.16207851441602866,12.843574556852486,293.22371196824065,280.26663823431613,0.09056365603585965,4.3999376521190365
2022-03-04,0.15912052117263845,11.79395084453696,277.9767017398204,264.15709254836537,0.0840496410943722,3.373475652200534
2022-03-05,0.1517668132226022,11.558468626718698,259.5038507053726,246.35762311102314,0.08006785631037787,4.562548033272819
2022-03-06,0.1503257328990228,11.155342030685107,252.2115151432102,238.61444943746446,0.07725831495713671,3.137986611198736
2022-03-07,0.17006311992786294,13.271646395356182,275.9122602429892,261.95671383124875,0.07623511593900147,3.468870478980381
2022-03-08,0.16708815028901733,10.674095035387543,268.20305623929005,254.30080644792156,0.07120191432361432,3.4273606452689287
2022-03-09,0.15984341869189367,12.390961068385124,229.65841636960764,218.02063163814233,0.06754029649944374,2.901928215588477
2022-03-10,0.15132757778139763,10.08458593388395,222.4174802753867,210.44709627192017,0.06393013553085077,3.364098907593168
2022-03-11,0.15246782863658576,9.915078159733971,209.99867086731228,198.44934178374993,0.06034739969125793,2.4287362128696994
2022-03-12,0.14483545128706418,11.390703660069988,199.21619249738626,188.33540033569224,0.05710716051953461,2.59034778107921
2022-03-13,0.14122821306401695,11.1895733505886,193.16403181889436,182.32418858766698,0.055281445902969545,1.9258697464105738
2022-03-14,0.1562443683546585,9.103171849996905,211.03098281147945,199.55340660909232,0.05538118064219581,2.3328739538063386
2022-03-15,0.1570501262170934,9.437096137454553,207.15442717394382,197.08791823622175,0.05236033537821611,2.5420463666699353
2022-03-16,0.15822062897181033,10.203775485589535,181.95147483050047,172.46283559849738,0.05184094640018761,2.7640325699250945
2022-03-17,0.1475089547378704,10.01962458498159,177.94356740066715,167.90654948366614,0.049736649979140596,3.323119895330253
2022-03-18,0.14539238033213936,9.507295728785346,170.17195096898215,160.30419134309383,0.047358453601515055,2.3447161036483855
2022-03-19,0.14197329859980462,9.039932169433744,163.8544907851299,154.9411038595366,0.04579339723109691,2.2617787874826765
2022-03-20,0.14132204493650277,9.145510591445905,161.10092756561758,152.40317898517003,0.044890866485874516,2.882119505353964
2022-03-21,0.15484569572279372,10.507026748681012,178.57328184731796,169.26791292767638,0.044095921490001584,1.805977030995969
2022-03-22,0.15451420300343768,8.075220935697436,175.5475116956071,165.94178137085248,0.04232465034736305,2.09801956194686
2022-03-23,0.15186573244256152,8.979499884131194,153.41599370399138,144.78702376440702,0.03969902417995846,1.683962220709357
2022-03-24,0.14157706093189965,7.000042761638289,144.96697193594758,136.8604512909929,0.0390529911397872,2.336857904202568
2022-03-25,0.14429967426710097,6.720302630318608,143.18735205527992,134.8705882544415,0.03636363636363636,2.850818751451535
2022-03-26,0.13536406580876365,6.541302415930155,138.14183183539905,130.1112092065287,0.035458099161588374,1.6751969679081604
2022-03-27,0.13699299560188957,7.46290708983369,132.320782324284,124.49720479991002,0.034740435177985425,1.0383314669238786
2022-03-28,0.15071467342138592,9.5107359511302,151.22649883376562,142.48865553279023,0.0344139716761784,1.3008562557372272
2022-03-29,0.1498731424429141,9.753002186382403,151.07700676710618,142.19976916189714,0.03330970942593905,1.5026112144478965
2022-03-30,0.15082341431599544,8.439370665417638,133.27495853142221,125.00296923369125,0.03271633200340114,1.5151955260485312
2022-03-31,0.14381107491856676,6.582345468347531,128.59409182105807,120.49079258039505,0.03189400089030873,2.5935398099284788
2022-04-01,0.1421361120156301,6.340011735262037,126.76713944846821,118.34757858037787,0.030414407791969127,1.13106092894681
2022-04-02,0.13678553981436248,6.351160408284657,124.98605353472257,118.18614939103185,0.02962708913189727,0.9475508288918567
2022-04-03,0.13391984359726294,6.484772678559375,123.85877412779178,115.3418759249233,0.030020154874297232,0.955927285850914
2022-04-04,0.15061549601737872,6.933657715310838,141.21531064369535,130.02956107144163,0.028949325401041115,0.9522343001155212
